"ExpertId"	"ConceptId"	"ConceptName"	"Rank"	"Vocabulary"
"26"	"769"	"baking"	"1"	"phy"
"26"	"10919"	"wave packets"	"0.8121901"	"phy"
"26"	"4837"	"scattering"	"0.488182"	"phy"
"26"	"3966"	"particle beams"	"0.30763665"	"phy"
"26"	"27441"	"ovens"	"0.23603645"	"phy"
"26"	"16549"	"moisture"	"0.20655592"	"phy"
"26"	"20386"	"temperature"	"0.17636769"	"phy"
"26"	"3305"	"evaporation"	"0.16341086"	"phy"
"26"	"4388"	"entrances"	"0.13621366"	"phy"
"26"	"6341"	"wave functions"	"0.10808186"	"phy"
"26"	"1908"	"electrons"	"0.06991591"	"phy"
"26"	"7418"	"photoionization"	"0.063927345"	"phy"
"26"	"72842"	"hydrogen atoms"	"0.06158666"	"phy"
"26"	"4499"	"protons"	"0.04602367"	"phy"
"26"	"4491"	"estimates"	"0.04224988"	"phy"
"26"	"1942"	"energy"	"0.029119192"	"phy"
"26"	"2727451"	"futures markets"	"1"	"eco"
"26"	"3420475"	"inefficiency"	"0.44418967"	"eco"
"26"	"7136764"	"trends"	"0.13498001"	"eco"
"26"	"7080229"	"trading systems"	"0.10678178"	"eco"
"26"	"4395165"	"momentum"	"0.09406783"	"eco"
"26"	"6931"	"exit"	"0.09033702"	"eco"
"26"	"2552183"	"filter"	"0.08641729"	"eco"
"27"	"10047174"	"personality"	"1"	"soc"
"27"	"10038485"	"moral philosophy"	"0.947668"	"soc"
"27"	"10042988"	"learning"	"0.9043676"	"soc"
"27"	"10038203"	"teacher"	"0.7805257"	"soc"
"27"	"10037271"	"student"	"0.67553014"	"soc"
"27"	"10035149"	"communication"	"0.64545417"	"soc"
"27"	"10066086"	"inclusion"	"0.49036473"	"soc"
"27"	"10054289"	"personality test"	"0.325209"	"soc"
"27"	"10046060"	"group interaction"	"0.28179106"	"soc"
"27"	"10079537"	"triangulation"	"0.26940164"	"soc"
"27"	"10040445"	"curriculum"	"0.22105382"	"soc"
"27"	"10063248"	"teaching"	"0.19483453"	"soc"
"27"	"10056459"	"regression"	"0.17769831"	"soc"
"27"	"11000017"	"education"	"0.16550574"	"soc"
"27"	"10037953"	"test"	"0.14406544"	"soc"
"27"	"10037483"	"effect"	"0.120848015"	"soc"
"32"	"15606"	"polyimides"	"1"	"cpx"
"32"	"13159"	"laser ablation"	"0.5136151"	"cpx"
"32"	"2813"	"silicones"	"0.47728148"	"cpx"
"32"	"4553"	"microelectronics"	"0.4704183"	"cpx"
"32"	"11018"	"glass transition"	"0.43797973"	"cpx"
"32"	"2004"	"etching"	"0.42390776"	"cpx"
"32"	"3539"	"polymers"	"0.41088295"	"cpx"
"32"	"4986"	"permittivity"	"0.40015754"	"cpx"
"32"	"9783"	"irradiation"	"0.36359277"	"cpx"
"32"	"13341"	"photosensitizers"	"0.30352375"	"cpx"
"32"	"8740"	"dry etching"	"0.30235744"	"cpx"
"32"	"9597"	"wet etching"	"0.29886246"	"cpx"
"32"	"291"	"acids"	"0.28781077"	"cpx"
"32"	"10268"	"excimer lasers"	"0.27003685"	"cpx"
"32"	"12317"	"water absorption"	"0.2630418"	"cpx"
"32"	"123"	"temperature"	"0.26041895"	"cpx"
"32"	"80"	"ablation"	"0.25544754"	"cpx"
"32"	"688"	"curing"	"0.22117046"	"cpx"
"32"	"4286"	"packaging"	"0.2139001"	"cpx"
"32"	"3966"	"copolymers"	"0.2011831"	"cpx"
"32"	"680"	"adhesion"	"0.20036647"	"cpx"
"32"	"6270"	"thermodynamic stability"	"0.19963104"	"cpx"
"32"	"10"	"physical properties"	"0.19438751"	"cpx"
"32"	"515"	"monomers"	"0.19256942"	"cpx"
"32"	"788"	"heating"	"0.16651978"	"cpx"
"32"	"6055"	"microstructure"	"0.15749814"	"cpx"
"32"	"5633"	"lasers"	"0.14514221"	"cpx"
"32"	"544"	"chemical analysis"	"0.12783521"	"cpx"
"32"	"4862"	"experiments"	"0.10131798"	"cpx"
"32"	"433"	"measurements"	"0.098619685"	"cpx"
"32"	"1305"	"models"	"0.07245719"	"cpx"
"32"	"990456658"	"chalcones"	"1"	"chm2"
"32"	"990003983"	"chalcone"	"0.98954403"	"chm2"
"32"	"990013447"	"mercuric chloride"	"0.9476512"	"chm2"
"32"	"990026156"	"paclitaxel"	"0.92793065"	"chm2"
"32"	"990061602"	"propylene"	"0.7351755"	"chm2"
"32"	"990056156"	"diphenyl"	"0.71794385"	"chm2"
"32"	"990098577"	"hydroxide ion"	"0.56050855"	"chm2"
"32"	"990006857"	"pharmaceutical preparations"	"0.49224323"	"chm2"
"32"	"990010716"	"hydrogen"	"0.459596"	"chm2"
"32"	"990003365"	"carbon"	"0.44797775"	"chm2"
"32"	"990007827"	"ether, ethyl"	"0.32078594"	"chm2"
"32"	"990000653"	"ethanol"	"0.29129812"	"chm2"
"32"	"21117"	"technology, pharmaceutical"	"0.90828764"	"msh"
